column,missing_pct
timestamp,0.0
semester,0.0
prior_degree,0.0
age_band,0.0
gender,0.0
public_high_school,0.0
software_experience,0.0
employed_in_software,0.0
project_count,0.0
primary_role,0.0
largest_team_size,0.0
genai_general_frequency,0.0
genai_se_frequency,0.0
genai_activities,0.0
genai_tools_last_12m,0.0
methodology,0.0
likert_useful,0.0
likert_productivity,0.0
likert_quality,0.0
likert_flow_change,0.0
likert_any_methodology,0.0
likert_methodology_fit,0.0
likert_new_competencies,0.0
likert_new_roles,0.0
likert_confidence_ai_code,0.0
role_backend_impact,0.0
role_frontend_impact,0.0
role_qa_impact,0.0
role_pmgr_impact,0.0
role_product_manager_impact,0.0
role_scrum_master_impact,0.0
open_biggest_benefit,0.0
open_five_year_impact,0.0
project_confidence_pre_start,0.0
project_challenges,0.0
automation_speed_up,0.0
automation_revision_needed,0.0
learning_motivation,0.0
learning_expected_level,0.0
automation_collaboration_help,0.0
autonomy_vs_tool_dependence,0.0
open_project_feeling,0.0
open_professional_growth,0.0
prior_project_with_genai_feature,0.0
consent,0.0
genai_general_frequency_num,0.0
genai_se_frequency_num,0.0
prior_project_with_genai_feature_num,0.0
employed_in_software_num,0.0
likert_useful_num,0.0
likert_productivity_num,0.0
likert_quality_num,0.0
likert_flow_change_num,0.0
likert_any_methodology_num,0.0
likert_methodology_fit_num,0.0
likert_new_competencies_num,0.0
likert_new_roles_num,0.0
likert_confidence_ai_code_num,0.0
perception_index,0.0
role_disruption_index,0.0
n_genai_tools,0.0
n_genai_activities,0.0
n_project_challenges,0.0
high_se_usage,0.0
daily_or_weekly_general_usage,0.0
